REGION,ZONE,Target,Month,Type,Business Type
FIT,LTDM,8.844186535,Jun,FILE TYPE,BOTH
FIT,LTDM,3.51455268,Jul,FILE TYPE,BOTH
FIT,LTDM,2.60512202,Aug,FILE TYPE,BOTH
FIT,LTDM,4.286357207,Sep,FILE TYPE,BOTH
FIT,LTDM,7.162004671,Oct,FILE TYPE,BOTH
FIT,LTDM,5.645659165,Nov,FILE TYPE,BOTH
FIT,LTDM,5.118152699,Dec,FILE TYPE,BOTH
GIT,LTDM,1.449036582,Jan,FILE TYPE,BOTH
GIT,LTDM,1.247071401,Feb,FILE TYPE,BOTH
GIT,LTDM,2.469766141,Mar,FILE TYPE,BOTH
GIT,LTDM,6.850110991,Apr,FILE TYPE,BOTH
GIT,LTDM,22.45895733,May,FILE TYPE,BOTH
GIT,LTDM,14.06581346,Jun,FILE TYPE,BOTH
GIT,LTDM,1.18544732,Jul,FILE TYPE,BOTH
GIT,LTDM,0.75487798,Aug,FILE TYPE,BOTH
GIT,LTDM,7.813642793,Sep,FILE TYPE,BOTH
GIT,LTDM,7.557995329,Oct,FILE TYPE,BOTH
GIT,LTDM,6.32855426,Nov,FILE TYPE,BOTH
GIT,LTDM,6.291059384,Dec,FILE TYPE,BOTH
AIR,LOSH,2.235853413,Jan,FILE TYPE,BOTH
AIR,LOSH,2.755023544,Feb,FILE TYPE,BOTH
AIR,LOSH,2.94344823,Mar,FILE TYPE,BOTH
AIR,LOSH,3.156328942,Apr,FILE TYPE,BOTH
AIR,LOSH,2.608713147,May,FILE TYPE,BOTH
AIR,LOSH,2.461769223,Jun,FILE TYPE,BOTH
AIR,LOSH,3.231296789,Jul,FILE TYPE,BOTH
AIR,LOSH,2.41116578,Aug,FILE TYPE,BOTH
AIR,LOSH,2.872373801,Sep,FILE TYPE,BOTH
AIR,LOSH,2.150777578,Oct,FILE TYPE,BOTH
AIR,LOSH,2.107274795,Nov,FILE TYPE,BOTH
AIR,LOSH,2.350890378,Dec,FILE TYPE,BOTH
FIT,LOSH,7.339626645,Jan,FILE TYPE,BOTH
FIT,LOSH,6.553005975,Feb,FILE TYPE,BOTH
FIT,LOSH,8.055199485,Mar,FILE TYPE,BOTH
FIT,LOSH,5.716434149,Apr,FILE TYPE,BOTH
FIT,LOSH,10.77805109,May,FILE TYPE,BOTH
FIT,LOSH,8.567184303,Jun,FILE TYPE,BOTH
FIT,LOSH,6.844880831,Jul,FILE TYPE,BOTH
FIT,LOSH,5.295260256,Aug,FILE TYPE,BOTH
FIT,LOSH,6.748082969,Sep,FILE TYPE,BOTH
FIT,LOSH,10.30309352,Oct,FILE TYPE,BOTH
FIT,LOSH,10.99412265,Nov,FILE TYPE,BOTH
FIT,LOSH,9.863088469,Dec,FILE TYPE,BOTH
GIT,LOSH,6.790373355,Jan,FILE TYPE,BOTH
